title,authors,year,num_citations,cites_per_year,citation_string,journal,volume,issue,pages,publisher,url_related_articles,semantic_id,reference_count,influential_citation_count,is_open_access,open_access_pdf,publication_types,publication_date,abstract,semantic_url,tldr,first_author,first_author_affiliation,corresponding_author,corresponding_author_affiliation,journal_abbreviation,month,day,pubmed_id,DOI,is_journal_article,is_review,fund,keywords
Sequence-Dependent Slowdown of DNA Translocation Using Transmembrane RNA–DNA Interactions in MoS2 Nanopore,"Dong Zhang, Mingjiao Zhang, Ruhong Zhou",2025.0,0,{},"The Journal of Physical Chemistry B, 2025",The Journal of Physical Chemistry B,,,,American Chemical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:f6xaZhr4TK4J:scholar.google.com/,2006ce70fce6e62589f165204c2a235afc1b47e9,49.0,0.0,False,,JournalArticle,2025-01-13,"The emergence of nanopores in two-dimensional (2D) nanomaterials offers an attractive solid-state platform for high-throughput and low-cost DNA sequencing. However, several challenges remain to be addressed before their wide application, including the too-fast DNA translocation speed (compared to state-of-the-art single nucleoside detection techniques) and too large noise/signal ratios due to DNA fluctuations inside the nanopores. Here, we use molecular dynamics (MD) simulations to demonstrate the feasibility of utilizing RNA-DNA interactions in modulating DNA translocations in 2D MoS2 nanopores. By constructing a transmembrane-RNA-oligonucleotide-decorated nanopore (TOD nanopore), we find that the translocation speed of DNA can be significantly slowed in a sequence-dependent manner, with up to 160-fold deceleration compared with the naked control. The strong interactions between the translocating DNA and the first and second guanines of transmembrane RNAs are thought to play a key role in regulating the translocation process. Moreover, the observed suppression of base conformational fluctuations within the TOD nanopore can further improve the single nucleotide detecting resolution. Therefore, our investigations demonstrate that the proposed TOD nanopore can be a potential candidate for enhanced DNA sequencing with solid-state nanopores.",https://www.semanticscholar.org/paper/2006ce70fce6e62589f165204c2a235afc1b47e9,Investigations demonstrate that the proposed TOD nanopore can be a potential candidate for enhanced DNA sequencing with solid-state nanopores and the observed suppression of base conformational fluctuations within the TOD nanopore can further improve the single nucleotide detecting resolution.,D. Zhang,"Institute of Quantitative Biology, College of Life Sciences, and School of Physics, Zhejiang University, Hangzhou, Zhejiang 310058, China.",R. Zhou,"Institute of Quantitative Biology, College of Life Sciences, and School of Physics, Zhejiang University, Hangzhou, Zhejiang 310058, China.",J Phys Chem B,1,13,39804229,10.1021/acs.jpcb.4c07041,True,False,,
Author Correction: Promoting anti-tumor immunity by targeting TMUB1 to modulate PD-L1 polyubiquitination and glycosylation,"Chengyu Shi, Ying Wang, Minjie Wu, Yu Chen, Fangzhou Liu, Zheyuan Shen, Yiran Wang, Shaofang Xie, Yingying Shen, Lingjie Sang, Zhen Zhang, Zerui Gao, Luojia Yang, Lei Qu, Zuozhen Yang, Xinyu He, Yu Guo, Chenghao Pan, Jinxin Che, Huaiqiang Ju, Jian Liu, Zhijian Cai, Qingfeng Yan, Luyang Yu, Liangjing Wang, Xiaowu Dong, Pinglong Xu, Jianzhong Shao, Yang Liu, Xu Li, Wenqi Wang, Ruhong Zhou, Tianhua Zhou, Aifu Lin",2024.0,0,{},"Nature Communications 15, 10663, 2024",Nature Communications,15,,10663,,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:zNBL5VhNkvMJ:scholar.google.com/,40b53bea67b94b9713144d19a82f5311fbf7289e,0.0,0.0,True,,JournalArticle,2024-12-10,,https://www.semanticscholar.org/paper/40b53bea67b94b9713144d19a82f5311fbf7289e,,C. Shi,"MOE Laboratory of Biosystem Homeostasis and Protection, College of Life Sciences, Zhejiang University, Hangzhou, Zhejiang, 310058, China.",A. Lin,"MOE Laboratory of Biosystem Homeostasis and Protection, College of Life Sciences, Zhejiang University, Hangzhou, Zhejiang, 310058, China. linaifu@zju.edu.cn.",Nat Commun,12,10,39658552,10.1038/s41467-024-55049-5,False,False,,
A fully human IgG1 antibody targeting connexin 32 extracellular domain blocks CMTX1 hemichannel dysfunction in an in vitro model,"Abraham Tettey-Matey, Viola Donati, Chiara Cimmino, Chiara Di Pietro, Damiano Buratto, Mariateresa Panarelli, Alberto Reale, Arianna Calistri, Maria Vittoria Fornaini, Ruhong Zhou, Guang Yang, Francesco Zonta, Daniela Marazziti, Fabio Mammano",2024.0,0,{},"Cell Communication and Signaling 22 (1), 1-18, 2024",Cell Communication and Signaling,22,1,1-18,BioMed Central,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:OKxZZHI20FMJ:scholar.google.com/,427aeaa5ad4c7b2c2a3165f8698d61301e2e5977,93.0,0.0,False,,JournalArticle,2024-12-05,,https://www.semanticscholar.org/paper/427aeaa5ad4c7b2c2a3165f8698d61301e2e5977,"The study shows that abEC1.1-hIgG1 effectively inhibits both WT and mutant Cx32 HCs, highlighting its potential as a therapeutic approach for CMTX1 and expands the antibody’s applicability for treating diseases associated with Cx HCs and inform the rational design of next-generation antibodies with enhanced affinity and efficacy against mutant HCs.",,,,,,,,,,,,,
A Robust Computational Framework for the Optimization of CDK7 Inhibitors as Promising Cancer Therapy,"Zhaoqi Shi, Xufan Gao, Damiano Buratto, Ruhong Zhou",2024.0,0,{},"bioRxiv, 2024.11. 13.623385, 2024",bioRxiv,,,2024.11. 13.623385,Cold Spring Harbor Laboratory,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:G_2aKYArpugJ:scholar.google.com/,405d4050d4f2375e226a0e24a0dee2389a8dc105,0.0,0.0,True,https://www.biorxiv.org/content/biorxiv/early/2024/11/15/2024.11.13.623385.full.pdf,,2024-11-15,"pendent kinase 7 (CDK7) plays a crucial role in cell cycle regulation and transcription, establishing it as a promising target for cancer therapy. Although the covalent inhibitor THZ1 effectively targets CDK7, it presents risks such as short half-life and potential off-target side effects. To address these limitations, we employed a computational workflow integrating virtual screening, molecular dynamics (MD) simulations, and free energy perturbation (FEP) method to design non-covalent CDK7 inhibitors with enhanced selectivity and safety profiles. MD simulations elucidated THZ1’s inhibitory mechanism and identified key molecular fragments within its structure. By incorporating fragments from known inhibitors, we introduced extensive non-covalent interactions within the binding pocket, leading to the identification of three novel non-covalent inhibitors with binding affinities comparable to or higher than that of THZ1. Our findings not only introduce promising CDK7 inhibitors but also present a robust computational framework that could accelerate the discovery of kinase-targeted therapeutics.",https://www.semanticscholar.org/paper/405d4050d4f2375e226a0e24a0dee2389a8dc105,"A computational workflow integrating virtual screening, molecular dynamics simulations, and free energy perturbation method is employed to design non-covalent CDK7 inhibitors with enhanced selectivity and safety profiles, introducing promising CDK7 inhibitors and presenting a robust computational framework that could accelerate the discovery of kinase-targeted therapeutics.",,,,,,,,,,,,,
A Multi-Modal Deep Learning Framework with Both Sequence and Structure for Tumor Antigens Prediction,"Ruofan Jin, Jingxuan Ge, Guanqiao Zhang, Ziyan Deng, Kim Hsieh, Tingjun Hou, Ruhong Zhou",2024.0,0,{},"bioRxiv, 2024.11. 06.622193, 2024",bioRxiv,,,2024.11. 06.622193,Cold Spring Harbor Laboratory,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:IV2YmjtsSL0J:scholar.google.com/,2e72ab470cb5363ce3659e0c5a31879800274996,0.0,0.0,True,https://www.biorxiv.org/content/biorxiv/early/2024/11/08/2024.11.06.622193.full.pdf,,2024-11-08,"igens are key targets in cancer immunotherapies that can be recognized by T cell receptor and induce immune responses. However, precision screening of immunogenic tumor antigens remains a great challenge due to human leukocyte antigen (HLA) restriction and tumor antigen escape. Here, we introduce MultiTAP (Multi-modal Tumor Antigen Predictor), a pioneering multi-modal framework with TCR-peptide-HLA sequence and structure features incorporating an attention mechanism designed to accurately identify tumor antigens with immunogenic properties. By constructing the multi-modal TCR-peptide-HLA Dataset (TPHD) and integrating its sequence and structure, we perform antigen feature enhancement using peptide-HLA (pHLA) structural features at the residue level, achieving interpretable prediction of immunogenicity for tumor antigens. Relative to existing baseline models, the MultiTAP framework has exhibited superior efficacy in predicting the immunogenicity of tumor antigens. Through comprehensive out-of-distribution (OOD) assessments, MultiTAP has maintained predictive robustness across diverse HLA phenotypes and the continuously evolving landscape of epitope distributions. Overall, MultiTAP presents a brand-new and promising approach for cancer immunotherapies that target tumor antigens.",https://www.semanticscholar.org/paper/2e72ab470cb5363ce3659e0c5a31879800274996,"A pioneering multi-modal framework with TCR-peptide-HLA sequence and structure features incorporating an attention mechanism designed to accurately identify tumor antigens with immunogenic properties, which presents a brand-new and promising approach for cancer immunotherapies that target tumor antigens.",,,,,,,,,,,,,
In-depth investigation of the iodine-nitrogen interaction mechanism using ab initio and density functional theory calculations,"Baoyu Li, Dingrui Yin, Long Chen, Fuyin Ma, Ruhong Zhou, Shuao Wang, Xing Dai",2024.0,0,{},"Computational and Theoretical Chemistry 1241, 114862, 2024",Computational and Theoretical Chemistry,1241,,114862,Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:-4prxGUZ99EJ:scholar.google.com/,ef85f63cbc8057815e9ac58474d434c87949a9ee,59.0,0.0,False,,JournalArticle,2024-11-01,,https://www.semanticscholar.org/paper/ef85f63cbc8057815e9ac58474d434c87949a9ee,,,,,,,,,,,,,,
Water compression induced ionic negative differential resistance in nanopores,"Haojing Tan, Zhi He, Ruhong Zhou, Jiandong Feng",2024.0,0,{},"The Journal of Chemical Physics 161 (15), 2024",The Journal of Chemical Physics,161,15,,AIP Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:5poYDsKi-tkJ:scholar.google.com/,953985a7e143b11744732b757552c9dfc56e979a,43.0,0.0,False,,JournalArticle,2024-10-15,"The mass transport behavior through nanoscale channels, greatly influenced by the structures and dynamics of nanoconfined water, plays an essential role in many biophysical processes. However, the dynamics of nanoconfined water under an external field and its effects are still not fully understood. Here, on the basis of molecular dynamics simulations, we theoretically show that the ionic current of [Bmim][PF6] through narrow pores in graphene membrane exhibits an ionic negative differential resistance effect-the ionic current decreases as the voltage increases over a certain threshold. This effect arises from the violation of traditional fluid dynamics as the assumption of continuity and homogeneity of fluids is no longer effective in ultrathin nanopores. The gradient of electric field around the atomic-thin layer produces a strong gradient force on the polarized water inside the nanopore. This dielectrophoretically compressed water leads to a hydrostatic force that repels ions from entering the nanopore. Our findings may advance the understanding of hydrostatic mechanism, which governs ion transport through nanopores.",https://www.semanticscholar.org/paper/953985a7e143b11744732b757552c9dfc56e979a,,H. Tan,"Laboratory of Experimental Physical Biology, Department of Chemistry, Zhejiang University, Hangzhou 310058, China.",J. Feng,"Laboratory of Experimental Physical Biology, Department of Chemistry, Zhejiang University, Hangzhou 310058, China.",J Chem Phys,10,21,39404209,10.1063/5.0227305,True,False,,
Unveiling the Role of Mechanical Microenvironment in Hepatocellular Carcinoma: Molecular Mechanisms and Implications for Therapeutic Strategies,"Jiachen Hong, Jiongjie Yu, Damiano Buratto, Wei Chen, Ruhong Zhou, Sunbin Ling, Xiao Xu",2024.0,0,{},"International Journal of Biological Sciences 20 (13), 5239, 2024",,20,13,5239,,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:41OmUpc235EJ:scholar.google.com/,a7a94f8c08cf9b46d7d01783a03d21c8f60221ca,147.0,0.0,True,,"Review, JournalArticle",2024-09-30,"Hepatocellular carcinoma (HCC) is the sixth most common cancer in the world and the third leading cause of cancer deaths globally. More than 80% of HCC patients have a background of fibrosis or cirrhosis, which leads to changes in physical factors in tumor microenvironment (TME), such as increased stiffness, solid stress, fluid stresses and structural alterations in the extracellular matrix (ECM). In the past, the focus of cancer research has predominantly been on genetic and biochemical factors in the TME, and the critical role of physical factors has often been overlooked. Recent discoveries suggest these unique physical signals are converted into biochemical signals through a mechanotransduction process that influences the biological behavior of tumor cells and stromal cells. This process facilitates the occurrence and progression of tumors. This review delves into the alterations in the mechanical microenvironment during the progression of liver fibrosis to HCC, the signaling pathways activated by physical signals, and the effects on both tumor and mesenchymal stromal cells. Furthermore, this paper summarizes and discusses the therapeutic options for targeting the mechanical aspects of the TME, offering valuable insights for future research into novel therapeutic avenues against HCC and other solid tumors.",https://www.semanticscholar.org/paper/a7a94f8c08cf9b46d7d01783a03d21c8f60221ca,"This paper summarizes and discusses the therapeutic options for targeting the mechanical aspects of the TME, offering valuable insights for future research into novel therapeutic avenues against HCC and other solid tumors.",J. Hong,"Hangzhou Normal University, Hangzhou, 311121, China.",X. Xu,"Department of Hepatobiliary and Pancreatic Surgery and Minimally Invasive Surgery, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), School of Clinical Medicine, Hangzhou Medical College, Hangzhou 314408, China.",Int J Biol Sci,,,39430235,10.7150/ijbs.102706,True,True,,"Humans, Carcinoma, Hepatocellularmetabolismtherapypathology, Tumor Microenvironment, Liver Neoplasmsmetabolismtherapypathology, Extracellular Matrixmetabolism, Mechanotransduction, Cellular, Animals, Signal Transduction"
Multi-strategies embedded framework for neoantigen vaccine maturation,"Guanqiao Zhang, Yaqi Fu, Kevin C Chan, Ruofan Jin, Yuxuan Yang, Ruhong Zhou",2024.0,0,{},"bioRxiv, 2024.08. 14.607669, 2024",bioRxiv,,,2024.08. 14.607669,Cold Spring Harbor Laboratory,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:Pkhi_fxO9qIJ:scholar.google.com/,48da826ac1bf89428724c986db8179558b57ded3,55.0,0.0,True,https://www.biorxiv.org/content/biorxiv/early/2024/08/15/2024.08.14.607669.full.pdf,,2024-08-15," cancer immunotherapy hinges on the precise recognition of neoantigens, presented as binary complexes with major histocompatibility complex (MHC) molecules, by T cell receptors (TCR). The development of immunogenic peptide predictors and generators plays a central role in personalizing immunotherapies while reducing experimental costs. However, the current methods often fall short in leveraging structural data efficiently and providing comprehensive guidance for neoantigen selection. To address these limitations, we introduce NEOM, a novel neoantigen maturation framework encompassing five distinct modules: “policy”, “structure”, “evaluation”, “selection” and “filter”. This framework is designed to enhance precision, interpretability, customizability and cost-effectiveness in neoantigen screening. We evaluated NEOM using a set of random synthetic peptides, followed by available clinically-derived peptides. NEOM achieved higher performance on generated peptide quality compared to other baseline models. Using established predictors for filtering revealed a substantial number of peptides with immunogenic potential. Subsequently, a more rigorous binding affinity evaluation using free energy perturbation methods identified 6 out of 38 candidates showing superior binding characteristics. MHC tetramer peptide exchange assays and flow cytometry experiments further validate five of them. These results demonstrate that NEOM not only excels in identifying diverse peptides with enhanced binding stability and affinity for MHC molecules but also augments their immunogenic potential, showcasing its utility in advancing personalized immunotherapies.",https://www.semanticscholar.org/paper/48da826ac1bf89428724c986db8179558b57ded3,"NEOM not only excels in identifying diverse peptides with enhanced binding stability and affinity for MHC molecules but also augments their immunogenic potential, showcasing its utility in advancing personalized immunotherapies.",,,,,,,,,,,,,
Electronic correlations influence on the anomalous constitutive law between the structure and spectra of hydrogen bonds,"Rui Liu, Xinrui Yang, Famin Yu, Depeng Zhang, Lu Wang, Ruhong Zhou, Zhigang Wang",2024.0,0,{},"Physical Review Research 6 (3), L032019, 2024",Physical Review Research,6.0,3,L032019,American Physical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:zOvzDICn0M8J:scholar.google.com/,4d07510aaf60ea8dc9b4d1d8800fe690d2216ee0,51.0,0.0,True,,JournalArticle,2024-07-25," constitutive law between the structure and spectra has long been established in most physical processes and behaviors. Despite the emerging consensus, whether this law applies to microscopic systems adhering to quantum mechanics remains a fundamental and open question, due to limitations in even the most state-of-the-art experimental techniques. Here, we report an anomalous constitutive law of hydrogen bonds (X-H···Y) using a benchmark method. Notably, a donor X-H bond shortening occurred simultaneously with an unexpected redshift and enhanced intensity in IR spectra. The reason for donor X-H bond shortening is attributed to both the slowly increasing attractive force from the acceptor Y atom and the increasing short-range repulsive forces from other protons attached to the approaching acceptor Y atom. Furthermore, neither eliminating vibrational mixing nor introducing various physical effects make vibrational spectra respond to X-H bond shortening. Other structural-characterization NMR spectra provide robust evidence for this anomalous law. This anomalous law is ascribed to the interplay of electronic correlations. Our Letter thus inspires a reassessment of paradigms, which broadens the scope of microscopic behavior for finer control.
 
 
 
 
 Published by the American Physical Society
 2024",https://www.semanticscholar.org/paper/4d07510aaf60ea8dc9b4d1d8800fe690d2216ee0,,,,,,,,,,,,,,
