title,authors,year,num_citations,cites_per_year,citation_string,journal,volume,issue,pages,publisher,url_related_articles,semantic_id,reference_count,influential_citation_count,is_open_access,open_access_pdf,publication_types,publication_date,abstract,semantic_url,tldr,first_author,first_author_affiliation,corresponding_author,corresponding_author_affiliation,journal_abbreviation,month,day,pubmed_id,DOI,is_journal_article,is_review,fund,keywords
Accurate prediction of protein structures and interactions using a three-track neural network,"Minkyung Baek, Frank DiMaio, Ivan Anishchenko, Justas Dauparas, Sergey Ovchinnikov, Gyu Rie Lee, Jue Wang, Qian Cong, Lisa N Kinch, R Dustin Schaeffer, Claudia Millán, Hahnbeom Park, Carson Adams, Caleb R Glassman, Andy DeGiovanni, Jose H Pereira, Andria V Rodrigues, Alberdina A Van Dijk, Ana C Ebrecht, Diederik J Opperman, Theo Sagmeister, Christoph Buhlheller, Tea Pavkov-Keller, Manoj K Rathinaswamy, Udit Dalwadi, Calvin K Yip, John E Burke, K Christopher Garcia, Nick V Grishin, Paul D Adams, Randy J Read, David Baker",2021,4172,"{2021: 226, 2022: 1180, 2023: 1415, 2024: 1321}","Science 373 (6557), 871-876, 2021",Science,373,6557,871-876,American Association for the Advancement of Science,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:kxzSx3jDLV0J:scholar.google.com/,5c84ffe8bb0da3e359cc71a9a08d5379ff5eac12,0.0,60.0,False,,,2021-08-02,"DeepMind presented notably accurate predictions at the recent 14th Critical Assessment of Structure Prediction (CASP14) conference. We explored network architectures that incorporate related ideas and obtained the best performance with a three-track network in which information at the one-dimensional (1D) sequence level, the 2D distance map level, and the 3D coordinate level is successively transformed and integrated. The three-track network produces structure predictions with accuracies approaching those of DeepMind in CASP14, enables the rapid solution of challenging x-ray crystallography and cryo-electron microscopy structure modeling problems, and provides insights into the functions of proteins of currently unknown structure. The network also enables rapid generation of accurate protein-protein complex models from sequence information alone, short-circuiting traditional approaches that require modeling of individual subunits followed by docking. We make the method available to the scientific community to speed biological research.",https://www.semanticscholar.org/paper/5c84ffe8bb0da3e359cc71a9a08d5379ff5eac12,,M. Baek,"Department of Biochemistry, University of Washington, Seattle, WA 98195, USA.",D. Baker,"Department of Biochemistry, University of Washington, Seattle, WA 98195, USA. dabaker@uw.edu.",Science,8,20,34282049,10.1126/science.abj8754,True,False,,"ADAM Proteinschemistry, Amino Acid Sequence, Computer Simulation, Cryoelectron Microscopy, Crystallography, X-Ray, Databases, Protein, Deep Learning, Membrane Proteinschemistry, Models, Molecular, Multiprotein Complexeschemistry, Neural Networks, Computer, Protein Conformation, Protein Folding, Protein Subunitschemistry, Proteinschemistryphysiology, Receptors, G-Protein-Coupledchemistry, Sphingosine N-Acyltransferasechemistry"
Protein structure prediction and structural genomics,"David Baker, Andrej Sali",2001,2281,"{2002: 68, 2003: 93, 2004: 123, 2005: 107, 2006: 100, 2007: 111, 2008: 135, 2009: 141, 2010: 123, 2011: 121, 2012: 120, 2013: 122, 2014: 105, 2015: 96, 2016: 102, 2017: 99, 2018: 99, 2019: 74, 2020: 68, 2021: 71, 2022: 54, 2023: 74, 2024: 42}","Science 294 (5540), 93-96, 2001",Science,294,5540,93-96,American Association for the Advancement of Science,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:wplTdyLXFIcJ:scholar.google.com/,2a37e40d53eb79e0543c2b031b44a4f0cf2e4234,45.0,52.0,False,,JournalArticle,2001-10-05,"Much of the complexity within cells arises from functional and regulatory interactions among proteins. The core of these interactions is increasingly known, but novel interactions continue to be discovered, and the information remains scattered across different database resources, experimental modalities and levels of mechanistic detail. The STRING database (https://string-db.org/) systematically collects and integrates protein-protein interactions-both physical interactions as well as functional associations. The data originate from a number of sources: automated text mining of the scientific literature, computational interaction predictions from co-expression, conserved genomic context, databases of interaction experiments and known complexes/pathways from curated sources. All of these interactions are critically assessed, scored, and subsequently automatically transferred to less well-studied organisms using hierarchical orthology information. The data can be accessed via the website, but also programmatically and via bulk downloads. The most recent developments in STRING (version 12.0) are: (i) it is now possible to create, browse and analyze a full interaction network for any novel genome of interest, by submitting its complement of encoded proteins, (ii) the co-expression channel now uses variational auto-encoders to predict interactions, and it covers two new sources, single-cell RNA-seq and experimental proteomics data and (iii) the confidence in each experimentally derived interaction is now estimated based on the detection method used, and communicated to the user in the web-interface. Furthermore, STRING continues to enhance its facilities for functional enrichment analysis, which are now fully available also for user-submitted genomes.",https://www.semanticscholar.org/paper/2a37e40d53eb79e0543c2b031b44a4f0cf2e4234,"This Viewpoint begins by describing the essential features of the methods, the accuracy of the models, and their application to the prediction and understanding of protein function, both for single proteins and on the scale of whole genomes.",D. Szklarczyk,"Department of Molecular Life Sciences, University of Zurich, 8057 Zurich, Switzerland.",C. von Mering,"Department of Molecular Life Sciences, University of Zurich, 8057 Zurich, Switzerland.",Nucleic Acids Res,1,06,36370105,10.1093/nar/gkac1000,True,False,,"Protein Interaction Mappingmethods, Databases, Protein, Proteinsgeneticsmetabolism, Genomics, Proteomics, User-Computer Interface"
Protein structure prediction and analysis using the Robetta server,"David E Kim, Dylan Chivian, David Baker",2004,2259,"{2005: 26, 2006: 53, 2007: 48, 2008: 47, 2009: 39, 2010: 39, 2011: 50, 2012: 83, 2013: 76, 2014: 89, 2015: 100, 2016: 118, 2017: 136, 2018: 150, 2019: 163, 2020: 175, 2021: 229, 2022: 232, 2023: 212, 2024: 179}","Nucleic acids research 32 (suppl_2), W526-W531, 2004",Nucleic acids research,32,suppl_2,W526-W531,Oxford University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:S3EIhk76sgAJ:scholar.google.com/,0fa67c023e732439f6e0dc5f012e7875ea1cad0c,45.0,108.0,True,https://academic.oup.com/nar/article-pdf/32/suppl_2/W526/6211563/gkh468.pdf,JournalArticle,2004-07-01,"The Robetta server (http://robetta.bakerlab.org) provides automated tools for protein structure prediction and analysis. For structure prediction, sequences submitted to the server are parsed into putative domains and structural models are generated using either comparative modeling or de novo structure prediction methods. If a confident match to a protein of known structure is found using BLAST, PSI-BLAST, FFAS03 or 3D-Jury, it is used as a template for comparative modeling. If no match is found, structure predictions are made using the de novo Rosetta fragment insertion method. Experimental nuclear magnetic resonance (NMR) constraints data can also be submitted with a query sequence for RosettaNMR de novo structure determination. Other current capabilities include the prediction of the effects of mutations on protein-protein interactions using computational interface alanine scanning. The Rosetta protein design and protein-protein docking methodologies will soon be available through the server as well.",https://www.semanticscholar.org/paper/0fa67c023e732439f6e0dc5f012e7875ea1cad0c,The Robetta server provides automated tools for protein structure prediction and analysis and current capabilities include the prediction of the effects of mutations on protein-protein interactions using computational interface alanine scanning.,DE. Kim,"Structural Genomics of Pathogenic Protozoa, Department of Biochemistry, University of Washington, Seattle WA 98195, USA.",D. Baker,,Nucleic Acids Res,7,01,15215442,,True,False,,"Alaninegenetics, Internet, Models, Molecular, Nuclear Magnetic Resonance, Biomolecular, Protein Conformation, Protein Structure, Tertiary, Proteinschemistrygeneticsmetabolism, Reproducibility of Results, Sequence Analysis, Protein, Software, Structural Homology, Protein, User-Computer Interface"
Protein structure prediction using Rosetta,"Carol A Rohl, Charlie EM Strauss, Kira MS Misura, David Baker",2004,2159,"{2004: 7, 2005: 33, 2006: 54, 2007: 65, 2008: 76, 2009: 107, 2010: 127, 2011: 143, 2012: 101, 2013: 145, 2014: 110, 2015: 122, 2016: 136, 2017: 144, 2018: 97, 2019: 117, 2020: 126, 2021: 132, 2022: 109, 2023: 112, 2024: 76}","Methods in enzymology 383, 66-93, 2004",,383,,66-93,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:6ELGd6_uatoJ:scholar.google.com/,ce557091070ef633a4bdff8dc94dcb42c485928b,28.0,157.0,False,,JournalArticle,,"Although deep learning has revolutionized protein structure prediction, almost all experimentally characterized de novo protein designs have been generated using physically based approaches such as Rosetta. Here, we describe a deep learning-based protein sequence design method, ProteinMPNN, that has outstanding performance in both in silico and experimental tests. On native protein backbones, ProteinMPNN has a sequence recovery of 52.4% compared with 32.9% for Rosetta. The amino acid sequence at different positions can be coupled between single or multiple chains, enabling application to a wide range of current protein design challenges. We demonstrate the broad utility and high accuracy of ProteinMPNN using x-ray crystallography, cryo-electron microscopy, and functional studies by rescuing previously failed designs, which were made using Rosetta or AlphaFold, of protein monomers, cyclic homo-oligomers, tetrahedral nanoparticles, and target-binding proteins.",https://www.semanticscholar.org/paper/ce557091070ef633a4bdff8dc94dcb42c485928b,"This chapter elaborates protein structure prediction using Rosetta, where short fragments of known proteins are assembled by a Monte Carlo strategy to yield native-like protein conformations.",J. Dauparas,"Department of Biochemistry, University of Washington, Seattle, WA, USA.",D. Baker,"Department of Biochemistry, University of Washington, Seattle, WA, USA.",Science,10,07,36108050,10.1126/science.add2187,True,False,,"Amino Acid Sequence, Cryoelectron Microscopy, Crystallography, X-Ray, Deep Learning, Protein Conformation, Protein Engineeringmethods, Proteinschemistry"
Design of a novel globular protein fold with atomic-level accuracy,"Brian Kuhlman, Gautam Dantas, Gregory C Ireton, Gabriele Varani, Barry L Stoddard, David Baker",2003,2100,"{2004: 67, 2005: 83, 2006: 100, 2007: 105, 2008: 128, 2009: 134, 2010: 114, 2011: 127, 2012: 116, 2013: 114, 2014: 93, 2015: 98, 2016: 101, 2017: 115, 2018: 95, 2019: 79, 2020: 87, 2021: 81, 2022: 89, 2023: 79, 2024: 73}","science 302 (5649), 1364-1368, 2003",science,302,5649,1364-1368,American Association for the Advancement of Science,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:C2R129SE4qgJ:scholar.google.com/,9e5acb903e4349fce29aa2a9f245ed4673c3a7b7,54.0,38.0,False,,JournalArticle,2003-11-21,"A major challenge of computational protein design is the creation of novel proteins with arbitrarily chosen three-dimensional structures. Here, we used a general computational strategy that iterates between sequence design and structure prediction to design a 93-residue alpha/beta protein called Top7 with a novel sequence and topology. Top7 was found experimentally to be folded and extremely stable, and the x-ray crystal structure of Top7 is similar (root mean square deviation equals 1.2 angstroms) to the design model. The ability to design a new protein fold makes possible the exploration of the large regions of the protein universe not yet observed in nature.",https://www.semanticscholar.org/paper/9e5acb903e4349fce29aa2a9f245ed4673c3a7b7,"A general computational strategy that iterates between sequence design and structure prediction to design a 93-residue α/β protein called Top7 with a novel sequence and topology, found experimentally to be folded and extremely stable.",B. Kuhlman,"Department of Biochemistry, University of Washington, Seattle, WA 98195, USA.",D. Baker,,Science,11,21,14631033,,True,False,,"Algorithms, Amino Acid Sequence, Circular Dichroism, Computational Biology, Computer Graphics, Computer Simulation, Crystallization, Crystallography, X-Ray, Databases, Protein, Models, Molecular, Molecular Sequence Data, Monte Carlo Method, Nuclear Magnetic Resonance, Biomolecular, Protein Conformation, Protein Denaturation, Protein Engineering, Protein Folding, Protein Structure, Secondary, Proteinschemistry, Software, Solubility, Temperature, Thermodynamics"
ROSETTA3: an object-oriented software suite for the simulation and design of macromolecules,"Andrew Leaver-Fay, Michael Tyka, Steven M Lewis, Oliver F Lange, James Thompson, Ron Jacak, Kristian W Kaufman, P Douglas Renfrew, Colin A Smith, Will Sheffler, Ian W Davis, Seth Cooper, Adrien Treuille, Daniel J Mandell, Florian Richter, Yih-En Andrew Ban, Sarel J Fleishman, Jacob E Corn, David E Kim, Sergey Lyskov, Monica Berrondo, Stuart Mentzer, Zoran Popović, James J Havranek, John Karanicolas, Rhiju Das, Jens Meiler, Tanja Kortemme, Jeffrey J Gray, Brian Kuhlman, David Baker, Philip Bradley",2011,2029,"{2011: 35, 2012: 72, 2013: 124, 2014: 114, 2015: 141, 2016: 156, 2017: 157, 2018: 152, 2019: 173, 2020: 211, 2021: 187, 2022: 190, 2023: 174, 2024: 135}","Methods in enzymology 487, 545-574, 2011",,487,,545-574,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:_yqi4JIkFvMJ:scholar.google.com/,a8ef427ecf4d45577189dd062804b31f0cc2b766,65.0,126.0,True,https://europepmc.org/articles/pmc4083816?pdf=render,JournalArticle,,"We have recently completed a full re-architecturing of the ROSETTA molecular modeling program, generalizing and expanding its existing functionality. The new architecture enables the rapid prototyping of novel protocols by providing easy-to-use interfaces to powerful tools for molecular modeling. The source code of this rearchitecturing has been released as ROSETTA3 and is freely available for academic use. At the time of its release, it contained 470,000 lines of code. Counting currently unpublished protocols at the time of this writing, the source includes 1,285,000 lines. Its rapid growth is a testament to its ease of use. This chapter describes the requirements for our new architecture, justifies the design decisions, sketches out central classes, and highlights a few of the common tasks that the new software can perform.",https://www.semanticscholar.org/paper/a8ef427ecf4d45577189dd062804b31f0cc2b766,"This chapter describes the requirements for the ROSETTA molecular modeling program's new architecture, justifies the design decisions, sketches out central classes, and highlights a few of the common tasks that the new software can perform.",A. Leaver-Fay,"Department of Biochemistry, University of North Carolina, Chapel Hill, North Carolina, USA.",P. Bradley,,Methods Enzymol,,,21187238,10.1016/B978-0-12-381270-4.00019-6,True,False,,"Computer Simulation, DNAchemistry, Macromolecular Substanceschemistry, Models, Molecular, Software"
"Contact order, transition state placement and the refolding rates of single domain proteins","Kevin W Plaxco, Kim T Simons, David Baker",1998,1883,"{1998: 18, 1999: 41, 2000: 54, 2001: 85, 2002: 108, 2003: 94, 2004: 119, 2005: 126, 2006: 90, 2007: 103, 2008: 107, 2009: 95, 2010: 90, 2011: 70, 2012: 72, 2013: 77, 2014: 58, 2015: 62, 2016: 53, 2017: 48, 2018: 51, 2019: 37, 2020: 37, 2021: 39, 2022: 49, 2023: 53, 2024: 32}","Journal of molecular biology 277 (4), 985-994, 1998",Journal of molecular biology,277,4,985-994,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:WCGY-NJcpfgJ:scholar.google.com/,7851f8bb441b2b6ceec97099ce1a2e2f2a93305a,69.0,74.0,False,,JournalArticle,1998-04-10,"Theoretical studies have suggested relationships between the size, stability and topology of a protein fold and the rate and mechanisms by which it is achieved. The recent characterization of the refolding of a number of simple, single domain proteins has provided a means of testing these assertions. Our investigations have revealed statistically significant correlations between the average sequence separation between contacting residues in the native state and the rate and transition state placement of folding for a non-homologous set of simple, single domain proteins. These indicate that proteins featuring primarily sequence-local contacts tend to fold more rapidly and exhibit less compact folding transition states than those characterized by more non-local interactions. No significant relationship is apparent between protein length and folding rates, but a weak correlation is observed between length and the fraction of solvent-exposed surface area buried in the transition state. Anticipated strong relationships between equilibrium folding free energy and folding kinetics, or between chemical denaturant and temperature dependence-derived measures of transition state placement, are not apparent. The observed correlations are consistent with a model of protein folding in which the size and stability of the polypeptide segments organized in the transition state are largely independent of protein length, but are related to the topological complexity of the native state. The correlation between topological complexity and folding rates may reflect chain entropy contributions to the folding barrier.",https://www.semanticscholar.org/paper/7851f8bb441b2b6ceec97099ce1a2e2f2a93305a,"Investigations have revealed statistically significant correlations between the average sequence separation between contacting residues in the native state and the rate and transition state placement of folding for a non-homologous set of simple, single domain proteins, indicating that proteins featuring primarily sequence-local contacts tend to fold more rapidly and exhibit less compact folding transition states than those characterized by more non-local interactions.",KW. Plaxco,"Department of Biochemistry, University of Washington, Seattle, WA 98195, USA.",D. Baker,,J Mol Biol,4,10,9545386,,True,False,,"Animals, Binding Sites, Entropy, Kinetics, Models, Chemical, Protein Conformation, Protein Folding, Proteinschemistry, Thermodynamics"
Predicting protein structures with a multiplayer online game,"Seth Cooper, Firas Khatib, Adrien Treuille, Janos Barbero, Jeehyung Lee, Michael Beenen, Andrew Leaver-Fay, David Baker, Zoran Popović",2010,1866,"{2010: 12, 2011: 83, 2012: 120, 2013: 140, 2014: 182, 2015: 172, 2016: 163, 2017: 162, 2018: 168, 2019: 205, 2020: 110, 2021: 100, 2022: 92, 2023: 65, 2024: 51}","Nature 466 (7307), 756-760, 2010",Nature,466,7307,756-760,Nature Publishing Group,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:fgRYQeejc2gJ:scholar.google.com/,a014850b346a5f37859b3e136b6bdbdf81574253,16.0,56.0,True,https://europepmc.org/articles/pmc2956414?pdf=render,JournalArticle,2010-08-05,"People exert large amounts of problem-solving effort playing computer games. Simple image- and text-recognition tasks have been successfully 'crowd-sourced' through games, but it is not clear if more complex scientific problems can be solved with human-directed computing. Protein structure prediction is one such problem: locating the biologically relevant native conformation of a protein is a formidable computational challenge given the very large size of the search space. Here we describe Foldit, a multiplayer online game that engages non-scientists in solving hard prediction problems. Foldit players interact with protein structures using direct manipulation tools and user-friendly versions of algorithms from the Rosetta structure prediction methodology, while they compete and collaborate to optimize the computed energy. We show that top-ranked Foldit players excel at solving challenging structure refinement problems in which substantial backbone rearrangements are necessary to achieve the burial of hydrophobic residues. Players working collaboratively develop a rich assortment of new strategies and algorithms; unlike computational approaches, they explore not only the conformational space but also the space of possible search strategies. The integration of human visual problem-solving and strategy development capabilities with traditional computational algorithms through interactive multiplayer games is a powerful new approach to solving computationally-limited scientific problems.",https://www.semanticscholar.org/paper/a014850b346a5f37859b3e136b6bdbdf81574253,"Foldit is described, a multiplayer online game that engages non-scientists in solving hard prediction problems and shows that top-ranked Foldit players excel at solving challenging structure refinement problems in which substantial backbone rearrangements are necessary to achieve the burial of hydrophobic residues.",S. Cooper,"Department of Computer Science and Engineering, University of Washington, Box 352350, Seattle, Washington 98195, USA.",F. Players,,Nature,8,05,20686574,10.1038/nature09304,True,False,,"Algorithms, Computational Biologymethods, Computer Graphics, Computer Simulation, Cooperative Behavior, Cues, Games, Experimental, Group Processes, Humans, Hydrogen Bonding, Hydrophobic and Hydrophilic Interactions, Imaging, Three-Dimensional, Internet, Leisure Activities, Models, Molecular, Nuclear Magnetic Resonance, Biomolecular, Photic Stimulation, Problem Solving, Protein Conformation, Protein Folding, Proteinschemistrymetabolism, Stochastic Processes, Thermodynamics"
Assembly of protein tertiary structures from fragments with similar local sequences using simulated annealing and Bayesian scoring functions,"Kim T Simons, Charles Kooperberg, Enoch Huang, David Baker",1997,1742,"{1998: 9, 1999: 17, 2000: 21, 2001: 28, 2002: 36, 2003: 69, 2004: 66, 2005: 81, 2006: 88, 2007: 107, 2008: 107, 2009: 114, 2010: 86, 2011: 97, 2012: 91, 2013: 77, 2014: 68, 2015: 68, 2016: 77, 2017: 76, 2018: 60, 2019: 63, 2020: 58, 2021: 50, 2022: 49, 2023: 38, 2024: 23}","Journal of molecular biology 268 (1), 209-225, 1997",Journal of molecular biology,268,1,209-225,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:oJHdeVBdF4YJ:scholar.google.com/,3defc38e9eca3deb46e9e831f1828875874db61f,60.0,108.0,False,,JournalArticle,1997-04-25,"We explore the ability of a simple simulated annealing procedure to assemble native-like structures from fragments of unrelated protein structures with similar local sequences using Bayesian scoring functions. Environment and residue pair specific contributions to the scoring functions appear as the first two terms in a series expansion for the residue probability distributions in the protein database; the decoupling of the distance and environment dependencies of the distributions resolves the major problems with current database-derived scoring functions noted by Thomas and Dill. The simulated annealing procedure rapidly and frequently generates native-like structures for small helical proteins and better than random structures for small beta sheet containing proteins. Most of the simulated structures have native-like solvent accessibility and secondary structure patterns, and thus ensembles of these structures provide a particularly challenging set of decoys for evaluating scoring functions. We investigate the effects of multiple sequence information and different types of conformational constraints on the overall performance of the method, and the ability of a variety of recently developed scoring functions to recognize the native-like conformations in the ensembles of simulated structures.",https://www.semanticscholar.org/paper/3defc38e9eca3deb46e9e831f1828875874db61f,"The effects of multiple sequence information and different types of conformational constraints on the overall performance of the method are investigated, and the ability of a variety of recently developed scoring functions to recognize the native-like conformations in the ensembles of simulated structures are investigated.",KT. Simons,"Department of Biochemistry, University of Washington, Seattle 98195, USA.",D. Baker,,J Mol Biol,4,25,9149153,,True,False,,"Bayes Theorem, Computer Simulation, Databases, Factual, Models, Molecular, Models, Statistical, Peptide Fragmentschemistry, Protein Folding, Protein Structure, Tertiary, Proteinschemistry, Sequence Homology, Amino Acid"
Quantitative reactivity profiling predicts functional cysteines in proteomes,"Eranthie Weerapana, Chu Wang, Gabriel M Simon, Florian Richter, Sagar Khare, Myles BD Dillon, Daniel A Bachovchin, Kerri Mowen, David Baker, Benjamin F Cravatt",2010,1680,"{2011: 34, 2012: 75, 2013: 65, 2014: 90, 2015: 87, 2016: 108, 2017: 135, 2018: 134, 2019: 170, 2020: 147, 2021: 160, 2022: 146, 2023: 183, 2024: 131}","Nature 468 (7325), 790-795, 2010",Nature,468,7325,790-795,Nature Publishing Group UK,https://scholar.google.com/scholar?oi=bibs&hl=en&q=related:Bnj_uligSBgJ:scholar.google.com/,aa9a74eb811e350ac7605fdeeaadaa49855748ca,61.0,24.0,True,,JournalArticle,2010-09-14,"Cysteine is the most intrinsically nucleophilic amino acid in proteins, where its reactivity is tuned to perform diverse biochemical functions. The absence of a consensus sequence that defines functional cysteines in proteins has hindered their discovery and characterization. Here we describe a proteomics method to profile quantitatively the intrinsic reactivity of cysteine residues en masse directly in native biological systems. Hyper-reactivity was a rare feature among cysteines and it was found to specify a wide range of activities, including nucleophilic and reductive catalysis and sites of oxidative modification. Hyper-reactive cysteines were identified in several proteins of uncharacterized function, including a residue conserved across eukaryotic phylogeny that we show is required for yeast viability and is involved in iron-sulphur protein biogenesis. We also demonstrate that quantitative reactivity profiling can form the basis for screening and functional assignment of cysteines in computationally designed proteins, where it discriminated catalytically active from inactive cysteine hydrolase designs.",https://www.semanticscholar.org/paper/aa9a74eb811e350ac7605fdeeaadaa49855748ca,"It is demonstrated that quantitative reactivity profiling can form the basis for screening and functional assignment of cysteines in computationally designed proteins, where it discriminated catalytically active from inactive cysteine hydrolase designs.",E. Weerapana,"The Skaggs Institute for Chemical Biology, The Scripps Research Institute, La Jolla, California 92037, USA.",BF. Cravatt,,Nature,12,09,21085121,10.1038/nature09472,True,False,,"Animals, Biocatalysis, Cell Line, Tumor, Conserved Sequence, Cysteineanalysismetabolism, Humans, Hydrolaseschemistrymetabolism, Iron-Sulfur Proteinsbiosynthesis, Livermetabolism, Mice, Myocardiummetabolism, Nuclear Proteinschemistrymetabolism, Oxidation-Reduction, Protein Engineering, Protein Hydrolysates, Protein-Arginine N-Methyltransferaseschemistrymetabolism, Proteinschemistrymetabolism, Proteomechemistrymetabolism, Proteomicsmethods, Repressor Proteinschemistrymetabolism, Saccharomyces cerevisiaegeneticsmetabolism, Saccharomyces cerevisiae Proteinschemistrygeneticsmetabolism"
